source,price,surface,floor,build_year,heating
https://metrohouse.pl/nieruchomosc/HUWU645/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___HUWU645,238 216 PLN,32.6 m2,"
                              2/4
                          ",2019,"
                              Miejskie
                          "
https://metrohouse.pl/nieruchomosc/PUJI449/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___PUJI449,188 565 PLN,29.0 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/CIWO238/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___CIWO238,249 831 PLN,43.8 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/XIFY737/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___XIFY737,189 410 PLN,29.1 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/SYWI828/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___SYWI828,249 831 PLN,43.8 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/DUBU627/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___DUBU627,189 410 PLN,29.1 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/CUPU714/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___CUPU714,188 565 PLN,29.0 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/LUFI974/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___LUFI974,249 831 PLN,43.8 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/WOJY773/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___WOJY773,189 410 PLN,29.1 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/KYZO459/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___KYZO459,189 410 PLN,29.1 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/MYJO363/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___MYJO363,188 565 PLN,29.0 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/HEHO431/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___HEHO431,249 831 PLN,43.8 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/FUPI696/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___FUPI696,249 831 PLN,43.8 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/MAWE807/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___MAWE807,189 410 PLN,29.1 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/XELA057/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___XELA057,249 831 PLN,43.8 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/WULI067/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___WULI067,189 410 PLN,29.1 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/DIRO313/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___DIRO313,189 410 PLN,29.1 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/ZINE346/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___ZINE346,188 565 PLN,29.0 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/BIGI054/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___BIGI054,188 565 PLN,29.0 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/ZUBO395/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___ZUBO395,249 831 PLN,43.8 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/KIXI152/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___KIXI152,249 831 PLN,43.8 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/HADA390/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___HADA390,189 410 PLN,29.1 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/FYSA979/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___FYSA979,188 565 PLN,29.0 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
